"Date","Price","Open","High","Low","Vol.","Change %"
"31-12-2023","48,159.00","48,203.45","48,450.00","47,481.35","920.08M","-0.28%"
"24-12-2023","48,292.25","47,576.40","48,636.45","47,411.65","868.76M","1.69%"
"17-12-2023","47,491.85","48,068.50","48,166.15","46,919.70","963.36M","-1.35%"
"10-12-2023","48,143.55","47,233.30","48,219.95","46,886.90","1.07B","1.87%"
"03-12-2023","47,262.00","45,671.50","47,303.65","45,484.20","1.31B","5.46%"
"26-11-2023","44,814.20","43,851.55","44,951.10","43,739.80","851.68M","2.39%"
"19-11-2023","43,769.10","43,591.50","43,806.50","43,230.95","552.51M","0.42%"
"12-11-2023","43,583.95","44,054.50","44,420.95","43,513.85","770.40M","-0.54%"
"05-11-2023","43,820.10","43,627.75","43,908.70","43,283.85","710.39M","1.16%"
"29-10-2023","43,318.25","42,721.40","43,416.10","42,390.50","760.38M","1.25%"
"22-10-2023","42,782.00","43,822.70","43,831.30","42,105.40","910.62M","-2.15%"
"15-10-2023","43,723.05","44,204.75","44,589.85","43,558.10","787.13M","-1.28%"
"08-10-2023","44,287.95","44,057.80","44,710.55","43,796.75","833.35M","-0.16%"
"01-10-2023","44,360.60","44,561.50","44,566.30","43,857.50","903.93M","-0.50%"
"24-09-2023","44,584.55","44,615.00","44,936.55","44,182.50","1.22B","-0.06%"
"17-09-2023","44,612.05","46,100.95","46,252.95","44,548.90","1.19B","-3.50%"
"10-09-2023","46,231.50","45,340.80","46,310.40","45,231.30","1.46B","2.38%"
"03-09-2023","45,156.40","44,647.65","45,383.35","44,207.25","1.06B","1.62%"
"27-08-2023","44,436.10","44,253.65","44,779.65","43,830.75","1.48B","0.46%"
"20-08-2023","44,231.45","43,952.85","44,949.90","43,862.00","872.37M","0.87%"
"13-08-2023","43,851.05","44,066.60","44,212.75","43,600.35","765.29M","-0.79%"
"06-08-2023","44,199.10","44,993.70","45,096.85","44,120.90","1.04B","-1.52%"
"30-07-2023","44,879.50","45,546.35","45,782.75","44,279.40","1.15B","-1.29%"
"23-07-2023","45,468.10","46,131.90","46,310.10","45,238.80","1.27B","-1.32%"
"16-07-2023","46,075.20","44,951.20","46,369.50","44,695.05","1.37B","2.80%"
"09-07-2023","44,819.30","44,958.65","45,184.30","44,547.80","1.20B","-0.24%"
"02-07-2023","44,925.00","44,957.95","45,655.50","44,844.80","1.52B","0.40%"
"25-06-2023","44,747.35","43,714.75","44,787.10","43,541.75","693.08M","2.58%"
"18-06-2023","43,622.90","44,015.30","44,042.15","43,345.95","1.00B","-0.72%"
"11-06-2023","43,938.15","44,035.20","44,212.35","43,397.50","868.93M","-0.12%"
"04-06-2023","43,989.00","44,103.25","44,459.25","43,917.90","659.76M","0.12%"
"28-05-2023","43,937.85","44,276.80","44,498.60","43,706.15","918.72M","-0.18%"
"21-05-2023","44,018.00","43,935.30","44,095.25","43,390.30","787.84M","0.11%"
"14-05-2023","43,969.40","43,821.05","44,151.70","43,446.40","1.01B","0.40%"
"07-05-2023","43,793.55","42,796.85","43,905.95","42,780.30","1.04B","2.65%"
"30-04-2023","42,661.20","43,395.05","43,739.80","42,582.20","844.15M","-1.32%"
"23-04-2023","43,233.90","42,469.95","43,302.05","42,269.10","1.06B","2.65%"
"16-04-2023","42,118.00","42,603.55","42,603.55","41,799.00","937.65M","-0.03%"
"09-04-2023","42,132.55","41,116.15","42,196.20","40,727.25","748.65M","2.66%"
"02-04-2023","41,041.00","40,695.80","41,274.70","40,535.90","541.28M","1.06%"
"26-03-2023","40,608.65","39,484.70","40,690.40","39,273.75","844.12M","3.08%"
"19-03-2023","39,395.35","39,512.10","40,201.60","38,941.90","681.07M","-0.51%"
"12-03-2023","39,598.10","40,356.10","40,690.05","38,613.15","914.19M","-2.19%"
"05-03-2023","40,485.45","41,418.40","41,671.20","40,341.70","602.22M","-1.86%"
"26-02-2023","41,251.35","39,820.40","41,390.15","39,745.40","1.03B","3.36%"
"19-02-2023","39,909.40","41,221.55","41,292.60","39,600.25","814.21M","-2.97%"
"12-02-2023","41,131.75","41,563.50","41,979.10","40,882.70","629.87M","-1.03%"
"05-02-2023","41,559.40","41,530.15","41,791.95","41,095.10","804.07M","0.14%"
"29-01-2023","41,499.70","39,856.15","42,015.65","39,419.80","1.72B","2.86%"
"22-01-2023","40,345.30","42,891.45","43,078.90","40,148.80","958.53M","-5.09%"
"15-01-2023","42,506.80","42,622.50","42,715.65","41,861.10","1.04B","0.32%"
"08-01-2023","42,371.25","42,404.85","42,716.80","41,729.00","870.53M","0.43%"
"01-01-2023","42,188.80","43,038.25","43,578.40","41,877.00","977.84M","-1.86%"
"25-12-2022","42,986.45","41,716.35","43,498.05","41,569.45","1.35B","3.16%"
"18-12-2022","41,668.05","43,346.35","43,614.65","41,597.65","1.31B","-3.59%"
"11-12-2022","43,219.50","43,455.85","44,151.80","43,080.55","1.56B","-0.95%"
"04-12-2022","43,633.45","43,269.35","43,853.40","42,948.45","1.66B","1.23%"
"27-11-2022","43,103.75","42,757.20","43,515.05","42,740.00","1.14B","0.28%"
"20-11-2022","42,983.95","42,286.95","43,339.15","42,202.55","1.54B","1.29%"
"13-11-2022","42,437.45","42,177.55","42,622.75","41,965.45","913.01M","0.71%"
"06-11-2022","42,137.05","41,740.65","42,345.50","41,318.60","1.39B","2.13%"
"30-10-2022","41,258.45","41,265.70","41,677.25","40,819.15","1.17B","0.65%"
"23-10-2022","40,990.85","41,348.35","41,530.65","40,839.30","902.74M","0.51%"
"16-10-2022","40,784.05","39,295.60","41,032.25","39,146.70","1.27B","3.76%"
"09-10-2022","39,305.60","38,641.55","39,570.85","38,437.95","877.72M","0.33%"
"02-10-2022","39,178.05","38,444.90","39,608.35","37,963.25","737.87M","1.41%"
"25-09-2022","38,631.95","39,027.85","39,229.40","37,386.35","1.12B","-2.31%"
"18-09-2022","39,546.25","40,685.60","41,677.65","39,412.70","968.23M","-3.02%"
"11-09-2022","40,776.80","40,540.45","41,840.15","40,288.90","1.03B","0.89%"
"04-09-2022","40,415.70","39,412.05","40,685.95","39,258.25","974.07M","2.52%"
"28-08-2022","39,421.00","38,111.60","39,667.65","37,943.85","659.89M","1.11%"
"21-08-2022","38,987.15","38,693.65","39,471.75","37,950.85","1.05B","0.00%"
"14-08-2022","38,985.95","39,284.10","39,759.15","38,848.40","455.14M","-0.14%"
"07-08-2022","39,042.30","37,847.35","39,088.90","37,681.45","664.23M","2.96%"
